date,product,units_sold,price,stock,promotion,day_of_week,month
2023-03-22,Rice 5kg,57,15.99,68,0,2,3
2023-03-23,Rice 5kg,60,15.99,1008,0,3,3
2023-03-24,Rice 5kg,50,15.99,958,0,4,3
2023-03-25,Rice 5kg,92,15.99,866,0,5,3
2023-03-26,Rice 5kg,87,15.99,779,0,6,3
2023-03-27,Rice 5kg,56,15.99,723,0,0,3
2023-03-28,Rice 5kg,60,15.99,663,0,1,3
2023-03-29,Rice 5kg,48,15.99,615,0,2,3
2023-03-30,Rice 5kg,54,15.99,561,0,3,3
2023-03-31,Rice 5kg,47,15.99,514,0,4,3
2023-04-01,Rice 5kg,130,12.79,384,1,5,4
2023-04-02,Rice 5kg,85,15.99,299,0,6,4
2023-04-03,Rice 5kg,65,15.99,234,0,0,4
2023-04-04,Rice 5kg,62,15.99,172,0,1,4
2023-04-05,Rice 5kg,118,12.79,54,1,2,4
2023-04-06,Rice 5kg,54,15.99,1000,0,3,4
2023-04-07,Rice 5kg,58,15.99,942,0,4,4
2023-04-08,Rice 5kg,77,15.99,865,0,5,4
2023-04-09,Rice 5kg,97,15.99,768,0,6,4
2023-04-10,Rice 5kg,55,15.99,713,0,0,4
2023-04-11,Rice 5kg,51,15.99,662,0,1,4
2023-04-12,Rice 5kg,61,15.99,601,0,2,4
2023-04-13,Rice 5kg,56,15.99,545,0,3,4
2023-04-14,Rice 5kg,56,15.99,489,0,4,4
2023-04-15,Rice 5kg,83,15.99,406,0,5,4
2023-04-16,Rice 5kg,93,15.99,313,0,6,4
2023-04-17,Rice 5kg,50,15.99,263,0,0,4
2023-04-18,Rice 5kg,100,12.79,163,1,1,4
2023-04-19,Rice 5kg,51,15.99,112,0,2,4
2023-04-20,Rice 5kg,53,15.99,59,0,3,4
2023-04-21,Rice 5kg,54,15.99,1005,0,4,4
2023-04-22,Rice 5kg,87,15.99,918,0,5,4
2023-04-23,Rice 5kg,93,15.99,825,0,6,4
2023-04-24,Rice 5kg,56,15.99,769,0,0,4
2023-04-25,Rice 5kg,67,15.99,702,0,1,4
2023-04-26,Rice 5kg,65,15.99,637,0,2,4
2023-04-27,Rice 5kg,56,15.99,581,0,3,4
2023-04-28,Rice 5kg,58,15.99,523,0,4,4
2023-04-29,Rice 5kg,99,15.99,424,0,5,4
2023-04-30,Rice 5kg,78,15.99,346,0,6,4
2023-05-01,Rice 5kg,93,12.79,253,1,0,5
2023-05-02,Rice 5kg,56,15.99,197,0,1,5
2023-05-03,Rice 5kg,55,15.99,142,0,2,5
2023-05-04,Rice 5kg,55,15.99,87,0,3,5
2023-05-05,Rice 5kg,57,15.99,1030,0,4,5
2023-05-06,Rice 5kg,91,15.99,939,0,5,5
2023-05-07,Rice 5kg,84,15.99,855,0,6,5
2023-05-08,Rice 5kg,96,12.79,759,1,0,5
2023-05-09,Rice 5kg,100,12.79,659,1,1,5
2023-05-10,Rice 5kg,111,12.79,548,1,2,5
2023-05-11,Rice 5kg,55,15.99,493,0,3,5
2023-05-12,Rice 5kg,47,15.99,446,0,4,5
2023-05-13,Rice 5kg,85,15.99,361,0,5,5
2023-05-14,Rice 5kg,88,15.99,273,0,6,5
2023-05-15,Rice 5kg,59,15.99,214,0,0,5
2023-05-16,Rice 5kg,61,15.99,153,0,1,5
2023-05-17,Rice 5kg,114,12.79,39,1,2,5
2023-05-18,Rice 5kg,59,15.99,980,0,3,5
2023-05-19,Rice 5kg,58,15.99,922,0,4,5
2023-05-20,Rice 5kg,86,15.99,836,0,5,5
2023-05-21,Rice 5kg,74,15.99,762,0,6,5
2023-05-22,Rice 5kg,59,15.99,703,0,0,5
2023-05-23,Rice 5kg,55,15.99,648,0,1,5
2023-05-24,Rice 5kg,57,15.99,591,0,2,5
2023-05-25,Rice 5kg,52,15.99,539,0,3,5
2023-05-26,Rice 5kg,64,15.99,475,0,4,5
2023-05-27,Rice 5kg,88,15.99,387,0,5,5
2023-05-28,Rice 5kg,95,15.99,292,0,6,5
2023-05-29,Rice 5kg,62,15.99,230,0,0,5
2023-05-30,Rice 5kg,61,15.99,169,0,1,5
2023-05-31,Rice 5kg,61,15.99,108,0,2,5
2023-06-01,Rice 5kg,61,15.99,47,0,3,6
2023-06-02,Rice 5kg,64,15.99,983,0,4,6
2023-06-03,Rice 5kg,80,15.99,903,0,5,6
2023-06-04,Rice 5kg,87,15.99,816,0,6,6
2023-06-05,Rice 5kg,52,15.99,764,0,0,6
2023-06-06,Rice 5kg,51,15.99,713,0,1,6
2023-06-07,Rice 5kg,87,12.79,626,1,2,6
2023-06-08,Rice 5kg,94,12.79,532,1,3,6
2023-06-09,Rice 5kg,62,15.99,470,0,4,6
2023-06-10,Rice 5kg,93,15.99,377,0,5,6
2023-06-11,Rice 5kg,90,15.99,287,0,6,6
2023-06-12,Rice 5kg,57,15.99,230,0,0,6
2023-06-13,Rice 5kg,59,15.99,171,0,1,6
2023-06-14,Rice 5kg,59,15.99,112,0,2,6
2023-06-15,Rice 5kg,67,15.99,45,0,3,6
2023-06-16,Rice 5kg,63,15.99,982,0,4,6
2023-06-17,Rice 5kg,97,15.99,885,0,5,6
2023-06-18,Rice 5kg,83,15.99,802,0,6,6
2023-06-19,Rice 5kg,53,15.99,749,0,0,6
2023-06-20,Rice 5kg,52,15.99,697,0,1,6
2023-06-21,Rice 5kg,59,15.99,638,0,2,6
2023-06-22,Rice 5kg,58,15.99,580,0,3,6
2023-06-23,Rice 5kg,61,15.99,519,0,4,6
2023-06-24,Rice 5kg,88,15.99,431,0,5,6
2023-06-25,Rice 5kg,89,15.99,342,0,6,6
2023-06-26,Rice 5kg,58,15.99,284,0,0,6
2023-06-27,Rice 5kg,59,15.99,225,0,1,6
2023-06-28,Rice 5kg,119,12.79,106,1,2,6
2023-06-29,Rice 5kg,61,15.99,45,0,3,6
2023-06-30,Rice 5kg,57,15.99,988,0,4,6
2023-07-01,Rice 5kg,118,12.79,870,1,5,7
2023-07-02,Rice 5kg,75,15.99,795,0,6,7
2023-07-03,Rice 5kg,112,12.79,683,1,0,7
2023-07-04,Rice 5kg,60,15.99,623,0,1,7
2023-07-05,Rice 5kg,57,15.99,566,0,2,7
2023-07-06,Rice 5kg,67,15.99,499,0,3,7
2023-07-07,Rice 5kg,64,15.99,435,0,4,7
2023-07-08,Rice 5kg,92,15.99,343,0,5,7
2023-07-09,Rice 5kg,83,15.99,260,0,6,7
2023-07-10,Rice 5kg,54,15.99,206,0,0,7
2023-07-11,Rice 5kg,58,15.99,148,0,1,7
2023-07-12,Rice 5kg,59,15.99,89,0,2,7
2023-07-13,Rice 5kg,90,12.79,999,1,3,7
2023-07-14,Rice 5kg,62,15.99,937,0,4,7
2023-07-15,Rice 5kg,96,15.99,841,0,5,7
2023-07-16,Rice 5kg,88,15.99,753,0,6,7
2023-07-17,Rice 5kg,67,15.99,686,0,0,7
2023-07-18,Rice 5kg,60,15.99,626,0,1,7
2023-07-19,Rice 5kg,59,15.99,567,0,2,7
2023-07-20,Rice 5kg,61,15.99,506,0,3,7
2023-07-21,Rice 5kg,56,15.99,450,0,4,7
2023-07-22,Rice 5kg,85,15.99,365,0,5,7
2023-07-23,Rice 5kg,129,12.79,236,1,6,7
2023-07-24,Rice 5kg,61,15.99,175,0,0,7
2023-07-25,Rice 5kg,61,15.99,114,0,1,7
2023-07-26,Rice 5kg,59,15.99,55,0,2,7
2023-07-27,Rice 5kg,64,15.99,991,0,3,7
2023-07-28,Rice 5kg,61,15.99,930,0,4,7
2023-07-29,Rice 5kg,83,15.99,847,0,5,7
2023-07-30,Rice 5kg,83,15.99,764,0,6,7
2023-07-31,Rice 5kg,58,15.99,706,0,0,7
2023-08-01,Rice 5kg,66,15.99,640,0,1,8
2023-08-02,Rice 5kg,61,15.99,579,0,2,8
2023-08-03,Rice 5kg,60,15.99,519,0,3,8
2023-08-04,Rice 5kg,65,15.99,454,0,4,8
2023-08-05,Rice 5kg,97,15.99,357,0,5,8
2023-08-06,Rice 5kg,97,15.99,260,0,6,8
2023-08-07,Rice 5kg,53,15.99,207,0,0,8
2023-08-08,Rice 5kg,69,15.99,138,0,1,8
2023-08-09,Rice 5kg,63,15.99,75,0,2,8
2023-08-10,Rice 5kg,52,15.99,1023,0,3,8
2023-08-11,Rice 5kg,66,15.99,957,0,4,8
2023-08-12,Rice 5kg,87,15.99,870,0,5,8
2023-08-13,Rice 5kg,83,15.99,787,0,6,8
2023-08-14,Rice 5kg,62,15.99,725,0,0,8
2023-08-15,Rice 5kg,52,15.99,673,0,1,8
2023-08-16,Rice 5kg,62,15.99,611,0,2,8
2023-08-17,Rice 5kg,63,15.99,548,0,3,8
2023-08-18,Rice 5kg,58,15.99,490,0,4,8
2023-08-19,Rice 5kg,86,15.99,404,0,5,8
2023-08-20,Rice 5kg,134,12.79,270,1,6,8
2023-08-21,Rice 5kg,61,15.99,209,0,0,8
2023-08-22,Rice 5kg,62,15.99,147,0,1,8
2023-08-23,Rice 5kg,65,15.99,82,0,2,8
2023-08-24,Rice 5kg,61,15.99,1021,0,3,8
2023-08-25,Rice 5kg,59,15.99,962,0,4,8
2023-08-26,Rice 5kg,95,15.99,867,0,5,8
2023-08-27,Rice 5kg,96,15.99,771,0,6,8
2023-08-28,Rice 5kg,91,12.79,680,1,0,8
2023-08-29,Rice 5kg,60,15.99,620,0,1,8
2023-08-30,Rice 5kg,65,15.99,555,0,2,8
2023-08-31,Rice 5kg,74,15.99,481,0,3,8
2023-09-01,Rice 5kg,62,15.99,419,0,4,9
2023-09-02,Rice 5kg,86,15.99,333,0,5,9
2023-09-03,Rice 5kg,97,15.99,236,0,6,9
2023-09-04,Rice 5kg,117,12.79,119,1,0,9
2023-09-05,Rice 5kg,51,15.99,68,0,1,9
2023-09-06,Rice 5kg,63,15.99,1005,0,2,9
2023-09-07,Rice 5kg,63,15.99,942,0,3,9
2023-09-08,Rice 5kg,60,15.99,882,0,4,9
2023-09-09,Rice 5kg,98,15.99,784,0,5,9
2023-09-10,Rice 5kg,85,15.99,699,0,6,9
2023-09-11,Rice 5kg,73,15.99,626,0,0,9
2023-09-12,Rice 5kg,73,15.99,553,0,1,9
2023-09-13,Rice 5kg,69,15.99,484,0,2,9
2023-09-14,Rice 5kg,67,15.99,417,0,3,9
2023-09-15,Rice 5kg,63,15.99,354,0,4,9
2023-09-16,Rice 5kg,93,15.99,261,0,5,9
2023-09-17,Rice 5kg,93,15.99,168,0,6,9
2023-09-18,Rice 5kg,60,15.99,108,0,0,9
2023-09-19,Rice 5kg,62,15.99,46,0,1,9
2023-09-20,Rice 5kg,115,12.79,931,1,2,9
2023-09-21,Rice 5kg,115,12.79,816,1,3,9
2023-09-22,Rice 5kg,66,15.99,750,0,4,9
2023-09-23,Rice 5kg,81,15.99,669,0,5,9
2023-09-24,Rice 5kg,89,15.99,580,0,6,9
2023-09-25,Rice 5kg,66,15.99,514,0,0,9
2023-09-26,Rice 5kg,67,15.99,447,0,1,9
2023-09-27,Rice 5kg,60,15.99,387,0,2,9
2023-09-28,Rice 5kg,63,15.99,324,0,3,9
2023-09-29,Rice 5kg,64,15.99,260,0,4,9
2023-09-30,Rice 5kg,79,15.99,181,0,5,9
2023-10-01,Rice 5kg,99,15.99,82,0,6,10
2023-10-02,Rice 5kg,68,15.99,1014,0,0,10
2023-10-03,Rice 5kg,94,12.79,920,1,1,10
2023-10-04,Rice 5kg,100,12.79,820,1,2,10
2023-10-05,Rice 5kg,77,15.99,743,0,3,10
2023-10-06,Rice 5kg,65,15.99,678,0,4,10
2023-10-07,Rice 5kg,96,15.99,582,0,5,10
2023-10-08,Rice 5kg,90,15.99,492,0,6,10
2023-10-09,Rice 5kg,66,15.99,426,0,0,10
2023-10-10,Rice 5kg,63,15.99,363,0,1,10
2023-10-11,Rice 5kg,63,15.99,300,0,2,10
2023-10-12,Rice 5kg,66,15.99,234,0,3,10
2023-10-13,Rice 5kg,75,15.99,159,0,4,10
2023-10-14,Rice 5kg,95,15.99,64,0,5,10
2023-10-15,Rice 5kg,101,15.99,963,0,6,10
2023-10-16,Rice 5kg,70,15.99,893,0,0,10
2023-10-17,Rice 5kg,61,15.99,832,0,1,10
2023-10-18,Rice 5kg,64,15.99,768,0,2,10
2023-10-19,Rice 5kg,69,15.99,699,0,3,10
2023-10-20,Rice 5kg,62,15.99,637,0,4,10
2023-10-21,Rice 5kg,92,15.99,545,0,5,10
2023-10-22,Rice 5kg,105,15.99,440,0,6,10
2023-10-23,Rice 5kg,64,15.99,376,0,0,10
2023-10-24,Rice 5kg,66,15.99,310,0,1,10
2023-10-25,Rice 5kg,67,15.99,243,0,2,10
2023-10-26,Rice 5kg,70,15.99,173,0,3,10
2023-10-27,Rice 5kg,113,12.79,60,1,4,10
2023-10-28,Rice 5kg,86,15.99,974,0,5,10
2023-10-29,Rice 5kg,95,15.99,879,0,6,10
2023-10-30,Rice 5kg,77,15.99,802,0,0,10
2023-10-31,Rice 5kg,62,15.99,740,0,1,10
2023-11-01,Rice 5kg,86,15.99,654,0,2,11
2023-11-02,Rice 5kg,121,12.79,533,1,3,11
2023-11-03,Rice 5kg,97,15.99,436,0,4,11
2023-11-04,Rice 5kg,132,15.99,304,0,5,11
2023-11-05,Rice 5kg,100,15.99,204,0,6,11
2023-11-06,Rice 5kg,83,15.99,121,0,0,11
2023-11-07,Rice 5kg,87,15.99,34,0,1,11
2023-11-08,Rice 5kg,82,15.99,952,0,2,11
2023-11-09,Rice 5kg,85,15.99,867,0,3,11
2023-11-10,Rice 5kg,91,15.99,776,0,4,11
2023-11-11,Rice 5kg,114,15.99,662,0,5,11
2023-11-12,Rice 5kg,98,15.99,564,0,6,11
2023-11-13,Rice 5kg,93,15.99,471,0,0,11
2023-11-14,Rice 5kg,85,15.99,386,0,1,11
2023-11-15,Rice 5kg,90,15.99,296,0,2,11
2023-11-16,Rice 5kg,81,15.99,215,0,3,11
2023-11-17,Rice 5kg,94,15.99,121,0,4,11
2023-11-18,Rice 5kg,121,15.99,0,0,5,11
2023-11-19,Rice 5kg,121,15.99,879,0,6,11
2023-11-20,Rice 5kg,90,15.99,789,0,0,11
2023-11-21,Rice 5kg,93,15.99,696,0,1,11
2023-11-22,Rice 5kg,79,15.99,617,0,2,11
2023-11-23,Rice 5kg,71,15.99,546,0,3,11
2023-11-24,Rice 5kg,86,15.99,460,0,4,11
2023-11-25,Rice 5kg,126,15.99,334,0,5,11
2023-11-26,Rice 5kg,116,15.99,218,0,6,11
2023-11-27,Rice 5kg,85,15.99,133,0,0,11
2023-11-28,Rice 5kg,77,15.99,56,0,1,11
2023-11-29,Rice 5kg,74,15.99,982,0,2,11
2023-11-30,Rice 5kg,88,15.99,894,0,3,11
2023-12-01,Rice 5kg,141,12.79,753,1,4,12
2023-12-02,Rice 5kg,97,15.99,656,0,5,12
2023-12-03,Rice 5kg,110,15.99,546,0,6,12
2023-12-04,Rice 5kg,82,15.99,464,0,0,12
2023-12-05,Rice 5kg,83,15.99,381,0,1,12
2023-12-06,Rice 5kg,127,12.79,254,1,2,12
2023-12-07,Rice 5kg,70,15.99,184,0,3,12
2023-12-08,Rice 5kg,87,15.99,97,0,4,12
2023-12-09,Rice 5kg,119,15.99,978,0,5,12
2023-12-10,Rice 5kg,133,15.99,845,0,6,12
2023-12-11,Rice 5kg,87,15.99,758,0,0,12
2023-12-12,Rice 5kg,79,15.99,679,0,1,12
2023-12-13,Rice 5kg,89,15.99,590,0,2,12
2023-12-14,Rice 5kg,97,15.99,493,0,3,12
2023-12-15,Rice 5kg,103,15.99,390,0,4,12
2023-12-16,Rice 5kg,112,15.99,278,0,5,12
2023-12-17,Rice 5kg,122,15.99,156,0,6,12
2023-12-18,Rice 5kg,89,15.99,67,0,0,12
2023-12-19,Rice 5kg,90,15.99,977,0,1,12
2023-12-20,Rice 5kg,76,15.99,901,0,2,12
2023-12-21,Rice 5kg,84,15.99,817,0,3,12
2023-12-22,Rice 5kg,82,15.99,735,0,4,12
2023-12-23,Rice 5kg,116,15.99,619,0,5,12
2023-12-24,Rice 5kg,118,15.99,501,0,6,12
2023-12-25,Rice 5kg,89,15.99,412,0,0,12
2023-12-26,Rice 5kg,88,15.99,324,0,1,12
2023-12-27,Rice 5kg,84,15.99,240,0,2,12
2023-12-28,Rice 5kg,72,15.99,168,0,3,12
2023-12-29,Rice 5kg,84,15.99,84,0,4,12
2023-12-30,Rice 5kg,111,15.99,973,0,5,12
2023-12-31,Rice 5kg,125,15.99,848,0,6,12
